Anime,Genres,Rating
Fullmetal_Alchemist__Brotherhood,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Military', 'Shounen']",9.10
Bleach__Sennen_Kessen-hen,"['Action', 'Adventure', 'Fantasy', 'Shounen']",9.07
Steins_Gate,"['Drama', 'Sci-Fi', 'Suspense', 'Psychological', 'Time Travel']",9.07
Shingeki_no_Kyojin_Season_3_Part_2,"['Action', 'Drama', 'Gore', 'Military', 'Survival', 'Shounen']",9.06
Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,"['Action', 'Drama', 'Suspense', 'Gore', 'Military', 'Survival', 'Shounen']",9.06
Gintama°,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",9.06
Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,"['Comedy', 'Romance', 'School', 'Seinen']",9.05
Gintama,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",9.04
Gintama__The_Final,"['Action', 'Comedy', 'Drama', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",9.04
Hunter_x_Hunter_2011,"['Action', 'Adventure', 'Fantasy', 'Shounen']",9.04
Oshi_no_Ko,"['Drama', 'Supernatural', 'Reincarnation', 'Showbiz', 'Seinen']",9.03
Gintama__Enchousen,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",9.03
Ginga_Eiyuu_Densetsu,"['Drama', 'Sci-Fi', 'Adult Cast', 'Military', 'Space']",9.02
Fruits_Basket__The_Final,"['Drama', 'Romance', 'Supernatural', 'Shoujo']",9.00
Gintama,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",8.98
Gintama,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",8.94
Koe_no_Katachi,"['Award Winning', 'Drama', 'Romantic Subtext', 'Shounen']",8.94
3-gatsu_no_Lion_2nd_Season,"['Drama', 'Childcare', 'Iyashikei', 'Strategy Game', 'Seinen']",8.93
Clannad__After_Story,"['Drama', 'Romance', 'Supernatural']",8.93
Code_Geass__Hangyaku_no_Lelouch_R2,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'Super Power']",8.91
Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Time Travel', 'Shounen']",8.91
Violet_Evergarden_Movie,"['Award Winning', 'Drama', 'Fantasy']",8.90
Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,"['Comedy', 'Drama', 'Romance', 'School', 'Seinen']",8.89
Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",8.88
Owarimonogatari_2nd_Season,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",8.88
Monster,"['Drama', 'Mystery', 'Suspense', 'Adult Cast', 'Psychological', 'Seinen']",8.87
Bocchi_the_Rock,"['Comedy', 'CGDCT', 'Music']",8.87
Kimi_no_Na_wa,"['Award Winning', 'Drama', 'Supernatural', 'Romantic Subtext']",8.85
Gintama__Shirogane_no_Tamashii-hen,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",8.81
Kingdom_3rd_Season,"['Action', 'Historical', 'Military', 'Seinen']",8.81
Kimetsu_no_Yaiba__Yuukaku-hen,"['Action', 'Fantasy', 'Historical', 'Shounen']",8.80
Mob_Psycho_100_II,"['Action', 'Comedy', 'Supernatural', 'Super Power']",8.80
Shingeki_no_Kyojin__The_Final_Season,"['Action', 'Drama', 'Gore', 'Military', 'Survival', 'Shounen']",8.80
Kizumonogatari_III__Reiketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",8.79
Sen_to_Chihiro_no_Kamikakushi,"['Adventure', 'Award Winning', 'Supernatural', 'Mythology']",8.78
Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,"['Sports', 'School', 'Team Sports', 'Shounen']",8.78
Monogatari_Series__Second_Season,"['Comedy', 'Mystery', 'Romance', 'Supernatural', 'Vampire']",8.77
Shingeki_no_Kyojin__The_Final_Season_Part_2,"['Action', 'Drama', 'Gore', 'Military', 'Survival', 'Shounen']",8.77
Hajime_no_Ippo,"['Sports', 'Combat Sports', 'Shounen']",8.76
Cowboy_Bebop,"['Action', 'Award Winning', 'Sci-Fi', 'Adult Cast', 'Space']",8.75
Kingdom_4th_Season,"['Action', 'Historical', 'Military', 'Seinen']",8.75
Vinland_Saga,"['Action', 'Adventure', 'Drama', 'Gore', 'Historical', 'Seinen']",8.74
Mob_Psycho_100_III,"['Action', 'Comedy', 'Supernatural', 'Super Power']",8.73
Mushishi_Zoku_Shou_2nd_Season,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural', 'Adult Cast', 'Historical', 'Iyashikei', 'Seinen']",8.73
Shiguang_Dailiren,"['Drama', 'Supernatural', 'Adult Cast', 'Time Travel']",8.73
Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,"['Drama', 'Adult Cast', 'Historical', 'Love Polygon', 'Performing Arts', 'Josei']",8.73
Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,"['Action', 'Drama', 'Romance', 'Adult Cast', 'Historical', 'Martial Arts', 'Samurai', 'Shounen']",8.71
86_Part_2,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Military']",8.71
Ashita_no_Joe_2,"['Drama', 'Sports', 'Combat Sports', 'Shounen']",8.71
Code_Geass__Hangyaku_no_Lelouch,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'School', 'Super Power']",8.70
Mushishi_Zoku_Shou,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural', 'Adult Cast', 'Historical', 'Iyashikei', 'Seinen']",8.70
Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,"['Drama', 'Fantasy', 'Ecchi', 'Isekai', 'Reincarnation']",8.70
Vinland_Saga_Season_2,"['Action', 'Adventure', 'Drama', 'Gore', 'Historical', 'Seinen']",8.70
Great_Teacher_Onizuka,"['Comedy', 'Delinquents', 'School', 'Workplace', 'Shounen']",8.69
Odd_Taxi,"['Award Winning', 'Mystery', 'Anthropomorphic']",8.69
One_Piece,"['Action', 'Adventure', 'Fantasy', 'Shounen']",8.69
Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,"['Action', 'Fantasy', 'Supernatural']",8.68
Violet_Evergarden,"['Drama', 'Fantasy']",8.67
Made_in_Abyss__Retsujitsu_no_Ougonkyou,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Gore', 'Survival']",8.67
Mononoke_Hime,"['Action', 'Adventure', 'Award Winning', 'Fantasy']",8.67
Made_in_Abyss,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Gore', 'Survival']",8.66
Mushishi,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural', 'Adult Cast', 'Historical', 'Iyashikei', 'Seinen']",8.66
Hajime_no_Ippo__New_Challenger,"['Sports', 'Combat Sports', 'Shounen']",8.66
Howl_no_Ugoku_Shiro,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance']",8.66
JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3,"['Action', 'Adventure', 'Supernatural', 'Shounen']",8.65
Natsume_Yuujinchou_Shi,"['Drama', 'Slice of Life', 'Supernatural', 'Iyashikei', 'Mythology', 'Shoujo']",8.65
Shigatsu_wa_Kimi_no_Uso,"['Drama', 'Romance', 'Love Polygon', 'Music', 'School', 'Shounen']",8.65
Jujutsu_Kaisen,"['Action', 'Award Winning', 'Fantasy', 'School', 'Shounen']",8.64
Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,"['Comedy', 'Psychological', 'Romantic Subtext', 'School', 'Seinen']",8.64
Haikyuu_Second_Season,"['Sports', 'School', 'Team Sports', 'Shounen']",8.63
Kimetsu_no_Yaiba__Katanakaji_no_Sato-hen,"['Action', 'Fantasy', 'Historical', 'Shounen']",8.63
Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Gore', 'Survival']",8.63
Spy_x_Family,"['Action', 'Award Winning', 'Comedy', 'Childcare', 'Shounen']",8.63
Tengen_Toppa_Gurren_Lagann,"['Action', 'Adventure', 'Award Winning', 'Sci-Fi', 'Mecha']",8.63
